% Model,CPWG_BaseSim.mph
% Version,COMSOL 5.6.0.280
% Date,"Mar 19 2025, 21:38"
% Table,Table 21 - MUT_Integration
% freq (GHz),plane_x (mm),Electric field norm (V*m),emw.normE^2 (kg^2*m^4/(s^6*A^2)),S11 (m^2),S21 (m^2)
5,-0.13799999999999987,0.4650650434713325,6396.649174566696,-7.309236975064794E-7+3.531555631532842E-7i,-8.235128118774812E-5-1.821580801887312E-4i
5,-0.12799999999999997,0.47061138262224456,6606.383725489873,-7.309236975064794E-7+3.531555631532842E-7i,-8.235128118774812E-5-1.821580801887312E-4i
5,-0.11799999999999994,0.47628271662800803,6821.258516909639,-7.309236975064794E-7+3.531555631532842E-7i,-8.235128118774812E-5-1.821580801887312E-4i
5,-0.10799999999999992,0.48254590182269536,7068.854246458042,-7.309236975064794E-7+3.531555631532842E-7i,-8.235128118774812E-5-1.821580801887312E-4i
5,-0.09799999999999989,0.48909566943538163,7337.566160661773,-7.309236975064794E-7+3.531555631532842E-7i,-8.235128118774812E-5-1.821580801887312E-4i
5,-0.08799999999999997,0.4959517343404804,7623.1345510356805,-7.309236975064794E-7+3.531555631532842E-7i,-8.235128118774812E-5-1.821580801887312E-4i
5,-0.07799999999999994,0.5034509529576243,7957.172238250172,-7.309236975064794E-7+3.531555631532842E-7i,-8.235128118774812E-5-1.821580801887312E-4i
5,-0.06799999999999992,0.5112767567505124,8314.228721971365,-7.309236975064794E-7+3.531555631532842E-7i,-8.235128118774812E-5-1.821580801887312E-4i
5,-0.05799999999999989,0.5202813290553948,8764.248392634925,-7.309236975064794E-7+3.531555631532842E-7i,-8.235128118774812E-5-1.821580801887312E-4i
5,-0.04799999999999986,0.5304133660736211,9301.640378394613,-7.309236975064794E-7+3.531555631532842E-7i,-8.235128118774812E-5-1.821580801887312E-4i
5,-0.03799999999999995,0.5410891705435231,9931.871877610927,-7.309236975064794E-7+3.531555631532842E-7i,-8.235128118774812E-5-1.821580801887312E-4i
5,-0.02799999999999992,0.5531125593061808,10715.46027187019,-7.309236975064794E-7+3.531555631532842E-7i,-8.235128118774812E-5-1.821580801887312E-4i
5,-0.017999999999999895,0.5691050024161308,11968.910887432687,-7.309236975064794E-7+3.531555631532842E-7i,-8.235128118774812E-5-1.821580801887312E-4i
5,-0.007999999999999868,0.5900874937265972,14366.280212987445,-7.309236975064794E-7+3.531555631532842E-7i,-8.235128118774812E-5-1.821580801887312E-4i
5,0.0020000000000000486,0.5021097498811365,14369.282060173782,-7.309236975064794E-7+3.531555631532842E-7i,-8.235128118774812E-5-1.821580801887312E-4i
5,0.012000000000000075,0.4699415849041029,9587.517684168037,-7.309236975064794E-7+3.531555631532842E-7i,-8.235128118774812E-5-1.821580801887312E-4i
5,0.022000000000000103,0.44851280776632074,7704.375452198963,-7.309236975064794E-7+3.531555631532842E-7i,-8.235128118774812E-5-1.821580801887312E-4i
