% Model,STRL_BaseSim.mph
% Version,COMSOL 5.6.0.280
% Date,"Mar 18 2025, 12:30"
% Table,Table 21 - MUT_Integration
% freq (GHz),plane_x (mm),Electric field norm (V*m),emw.normE^2 (kg^2*m^4/(s^6*A^2)),S11 (m^2),S21 (m^2)
5,-0.3479999999999999,0.32485050700313667,3787.249149464671,-3.5890285249711637E-7+1.5549316422728778E-7i,-7.295104059441517E-5-1.8613008244901916E-4i
5,-0.3379999999999999,0.32637514611320884,3836.0490685760324,-3.5890285249711637E-7+1.5549316422728778E-7i,-7.295104059441517E-5-1.8613008244901916E-4i
5,-0.32799999999999996,0.3279551582382037,3886.8626906299114,-3.5890285249711637E-7+1.5549316422728778E-7i,-7.295104059441517E-5-1.8613008244901916E-4i
5,-0.31799999999999995,0.329535085875082,3938.3377352824095,-3.5890285249711637E-7+1.5549316422728778E-7i,-7.295104059441517E-5-1.8613008244901916E-4i
5,-0.30799999999999994,0.33109579453752364,3991.650992558714,-3.5890285249711637E-7+1.5549316422728778E-7i,-7.295104059441517E-5-1.8613008244901916E-4i
5,-0.29799999999999993,0.33277026455185804,4047.2858890462016,-3.5890285249711637E-7+1.5549316422728778E-7i,-7.295104059441517E-5-1.8613008244901916E-4i
5,-0.288,0.3345798872649311,4106.930215631058,-3.5890285249711637E-7+1.5549316422728778E-7i,-7.295104059441517E-5-1.8613008244901916E-4i
5,-0.2779999999999999,0.336517310189679,4172.361732787819,-3.5890285249711637E-7+1.5549316422728778E-7i,-7.295104059441517E-5-1.8613008244901916E-4i
5,-0.26799999999999996,0.33853916878312984,4239.125578378196,-3.5890285249711637E-7+1.5549316422728778E-7i,-7.295104059441517E-5-1.8613008244901916E-4i
5,-0.25799999999999995,0.3405916611504425,4308.692890195942,-3.5890285249711637E-7+1.5549316422728778E-7i,-7.295104059441517E-5-1.8613008244901916E-4i
5,-0.24799999999999994,0.34271855635495907,4382.216889987394,-3.5890285249711637E-7+1.5549316422728778E-7i,-7.295104059441517E-5-1.8613008244901916E-4i
5,-0.23799999999999993,0.34521962221631863,4470.689946205757,-3.5890285249711637E-7+1.5549316422728778E-7i,-7.295104059441517E-5-1.8613008244901916E-4i
5,-0.2279999999999999,0.3480077949779774,4573.21422638216,-3.5890285249711637E-7+1.5549316422728778E-7i,-7.295104059441517E-5-1.8613008244901916E-4i
5,-0.2179999999999999,0.350684863252057,4675.472333294704,-3.5890285249711637E-7+1.5549316422728778E-7i,-7.295104059441517E-5-1.8613008244901916E-4i
5,-0.20799999999999996,0.35329275211306294,4777.6035172338925,-3.5890285249711637E-7+1.5549316422728778E-7i,-7.295104059441517E-5-1.8613008244901916E-4i
5,-0.19799999999999993,0.3559417867320896,4882.351532562699,-3.5890285249711637E-7+1.5549316422728778E-7i,-7.295104059441517E-5-1.8613008244901916E-4i
5,-0.18799999999999992,0.35866933145779917,4994.036298914651,-3.5890285249711637E-7+1.5549316422728778E-7i,-7.295104059441517E-5-1.8613008244901916E-4i
5,-0.17799999999999988,0.3619492830264858,5124.472782965681,-3.5890285249711637E-7+1.5549316422728778E-7i,-7.295104059441517E-5-1.8613008244901916E-4i
5,-0.16799999999999995,0.3653397121572814,5263.167776789165,-3.5890285249711637E-7+1.5549316422728778E-7i,-7.295104059441517E-5-1.8613008244901916E-4i
5,-0.15799999999999995,0.36882884083130335,5409.924806004734,-3.5890285249711637E-7+1.5549316422728778E-7i,-7.295104059441517E-5-1.8613008244901916E-4i
5,-0.1479999999999999,0.37225153289496454,5568.349717711891,-3.5890285249711637E-7+1.5549316422728778E-7i,-7.295104059441517E-5-1.8613008244901916E-4i
5,-0.13799999999999987,0.3759014223775009,5730.0193805416075,-3.5890285249711637E-7+1.5549316422728778E-7i,-7.295104059441517E-5-1.8613008244901916E-4i
5,-0.12799999999999997,0.3803980132008331,5932.570203084364,-3.5890285249711637E-7+1.5549316422728778E-7i,-7.295104059441517E-5-1.8613008244901916E-4i
5,-0.11799999999999994,0.38495595104244446,6139.467598589626,-3.5890285249711637E-7+1.5549316422728778E-7i,-7.295104059441517E-5-1.8613008244901916E-4i
5,-0.10799999999999992,0.3895547563178095,6352.9784869438945,-3.5890285249711637E-7+1.5549316422728778E-7i,-7.295104059441517E-5-1.8613008244901916E-4i
5,-0.09799999999999989,0.3943171875900032,6595.716090148393,-3.5890285249711637E-7+1.5549316422728778E-7i,-7.295104059441517E-5-1.8613008244901916E-4i
