%"freq
%References : ['S(1,1)','S(1,2)','S(2,1)','S(2,2)']
%Dependency : [freq]
%Num. Points : [200]
%Matrix Size : scalar
%Type : Real","S(1,1)
%References : []
%Dependency : [freq]
%Num. Points : [200]
%Matrix Size : scalar
%Type : Complex
%Complex Format : Mag/Deg","S(1,2)
%References : []
%Dependency : [freq]
%Num. Points : [200]
%Matrix Size : scalar
%Type : Complex
%Complex Format : Mag/Deg","S(2,1)
%References : []
%Dependency : [freq]
%Num. Points : [200]
%Matrix Size : scalar
%Type : Complex
%Complex Format : Mag/Deg","S(2,2)
%References : []
%Dependency : [freq]
%Num. Points : [200]
%Matrix Size : scalar
4.995 GHz,0.115 / 164.069 ,0.579 / -44.582 ,0.579 / -44.582 ,0.093 / -1.574 
5.005 GHz,0.094 / 156.575 ,0.615 / -49.980 ,0.615 / -49.980 ,0.101 / 2.785 
5.015 GHz,0.069 / 147.670 ,0.644 / -55.670 ,0.644 / -55.670 ,0.112 / 3.990 
5.025 GHz,0.041 / 135.290 ,0.665 / -61.542 ,0.665 / -61.542 ,0.123 / 2.722 
5.035 GHz,0.013 / 98.004 ,0.677 / -67.512 ,0.677 / -67.512 ,0.134 / -0.134 
5.045 GHz,0.024 / -26.113 ,0.682 / -73.518 ,0.682 / -73.518 ,0.143 / -3.899 
5.055 GHz,0.057 / -47.100 ,0.678 / -79.505 ,0.678 / -79.505 ,0.150 / -8.138 
5.065 GHz,0.090 / -59.023 ,0.666 / -85.422 ,0.666 / -85.422 ,0.156 / -12.599 
5.075 GHz,0.123 / -69.252 ,0.646 / -91.210 ,0.646 / -91.210 ,0.161 / -17.167 
5.085 GHz,0.153 / -78.923 ,0.619 / -96.798 ,0.619 / -96.798 ,0.165 / -21.814 
5.095 GHz,0.180 / -88.341 ,0.585 / -102.092 ,0.585 / -102.092 ,0.169 / -26.566 
5.106 GHz,0.204 / -97.594 ,0.545 / -106.965 ,0.545 / -106.965 ,0.172 / -31.469 
5.116 GHz,0.222 / -106.691 ,0.500 / -111.240 ,0.500 / -111.240 ,0.174 / -36.564 
5.126 GHz,0.235 / -115.602 ,0.451 / -114.664 ,0.451 / -114.664 ,0.175 / -41.872 
5.136 GHz,0.242 / -124.276 ,0.400 / -116.872 ,0.400 / -116.872 ,0.174 / -47.385 
5.146 GHz,0.243 / -132.642 ,0.350 / -117.328 ,0.350 / -117.328 ,0.173 / -53.067 
5.156 GHz,0.239 / -140.610 ,0.304 / -115.298 ,0.304 / -115.298 ,0.169 / -58.860 
5.166 GHz,0.229 / -148.061 ,0.266 / -110.000 ,0.266 / -110.000 ,0.164 / -64.688 
5.176 GHz,0.215 / -154.844 ,0.244 / -101.308 ,0.244 / -101.308 ,0.158 / -70.467 
5.186 GHz,0.198 / -160.761 ,0.243 / -90.888 ,0.243 / -90.888 ,0.150 / -76.103 
5.196 GHz,0.179 / -165.564 ,0.263 / -81.798 ,0.263 / -81.798 ,0.140 / -81.502 
