% Model,MSL_BaseSim.mph
% Version,COMSOL 5.6.0.280
% Date,"Apr 13 2025, 11:19"
% Table,Table 24 - Global Evaluation 1
% MS_W (mm),MUT_Er,freq (GHz),S11 (1),S21 (1)
0.95,1.00053789020379,5,-0.005348013204802449+0.0025620469953060382i,-0.4167676055170294-0.908505575799003i
0.95,1.00053798052758,5,-0.005348018053733483+0.0025620492527355333i,-0.4167676138137901-0.9085055719799021i
0.95,1.00053807085138,5,-0.005348022915570461+0.0025620515813288675i,-0.4167676221058523-0.9085055681325469i
0.95,1.00053816117519,5,-0.005348027783647957+0.0025620538675457222i,-0.4167676304126706-0.90850556427765i
0.95,1.000538251499,5,-0.00534803265435162+0.0025620561648227705i,-0.4167676387229938-0.9085055604258848i
0.95,1.00053834182282,5,-0.005348037519953408+0.002562058484295472i,-0.4167676470039042-0.9085055565827679i
0.95,1.00053843214664,5,-0.005348042380528462+0.002562060788559876i,-0.41676765532322324-0.9085055527359165i
0.95,1.00053852247047,5,-0.005348047228785191+0.002562063028141391i,-0.4167676636073304-0.9085055489089917i
0.95,1.0005386127943,5,-0.005348052080401722+0.0025620652957804853i,-0.4167676718944381-0.9085055450915347i
0.95,1.00062812638563,5,-0.0053528707252210594+0.0025643369565337163i,-0.41677589539359616-0.908501737759582i
0.95,1.0007184583297,5,-0.005357733294728995+0.002566629430901185i,-0.4167841939243287-0.9084978955687338i
0.95,1.00080879571271,5,-0.00536259603501108+0.0025689220840281095i,-0.41679249277669383-0.9084940530926575i
0.95,1.00089913853514,5,-0.0053674589695722474+0.0025712149712212883i,-0.4168007921191891-0.9084902102971061i
0.95,1.00098948679748,5,-0.005372322040677524+0.0025735080233021037i,-0.4168090917260815-0.9084863672280452i
0.95,1.00107984050023,5,-0.005377185309375143+0.002575801202034447i,-0.4168173917590533-0.9084825238857i
0.95,1.00117019964387,5,-0.005382048743781809+0.002578094639045057i,-0.4168256921378174-0.9084786802193798i
0.95,1.0012605642289,5,-0.005386912346646078+0.0025803882830891887i,-0.4168339928780223-0.9084748362575684i
0.95,1.00135093425582,5,-0.005391776096073464+0.0025826820930441993i,-0.41684229396701566-0.9084709920331313i
0.95,1.0014413097251,5,-0.005396640080448734+0.002584975773983476i,-0.41685059578065353-0.9084671472952115i
0.95,1.00234536385658,5,-0.00544528891376288+0.0026079261173249614i,-0.41693363053163857-0.9084286857907229i
0.95,1.00324996276642,5,-0.005493954804015644+0.002630895512556326i,-0.4170167018420976-0.9083901949567308i
0.95,1.00415510694717,5,-0.005542637805007367+0.0026538838491538606i,-0.41709980972632305-0.9083516747545787i
0.95,1.00506079689202,5,-0.00559133793138269+0.00267689128580963i,-0.4171829542584213-0.9083131251407777i
0.95,1.00596703309471,5,-0.005640055171273061+0.00269991780416131i,-0.4172661353955479-0.9082745460526229i
0.95,1.00687381604959,5,-0.005688789524511506+0.002722963364131385i,-0.4173493532094531-0.9082359375294213i
0.95,1.00778114625163,5,-0.005737541008761582+0.002746028000668455i,-0.41743260768751006-0.9081972995398859i
0.95,1.00868902419636,5,-0.005786309658517119+0.002769111811829259i,-0.41751589893134067-0.908158631981105i
0.95,1.00959745037993,5,-0.005835095434891002+0.0027922147043930564i,-0.4175992268548606-0.908119934887026i
0.95,1.01871197493415,5,-0.006323897461842698+0.0030243001192585494i,-0.4184345313917584-0.9077313322520848i
0.95,1.02788187361308,5,-0.0068144209919683615+0.0032583192950485945i,-0.41927353506151066-0.9073397422860309i
0.95,1.03710765258186,5,-0.007306672443466766+0.003494291313705085i,-0.42011626169722066-0.906945135491671i
0.95,1.04638982419353,5,-0.007800658414560324+0.0037322354263099877i,-0.42096273507965287-0.9065474818916293i
0.95,1.05572890708386,5,-0.008296385449796162+0.003972170261065359i,-0.4218129805620919-0.9061467505269686i
0.95,1.06512542626792,5,-0.008793859887894584+0.004214116572912154i,-0.42266702133400036-0.9057429114745073i
0.95,1.0745799132385,5,-0.00929308829401485+0.00445809323078712i,-0.42352488310922387-0.9053359330451777i
0.95,1.08409290606633,5,-0.009794077190228557+0.0047041206388257414i,-0.42438659054463324-0.9049257839047709i
0.95,1.09366494950212,5,-0.010296832961588542+0.004952219071409346i,-0.4252521687607992-0.9045124321245461i
1.2,1.00053779988,5,-0.12152583465695432+0.05801145156110791i,-0.42609737741725706-0.8940424063940385i
1.2,1.00053789020379,5,-0.12152583811417265+0.058011454438693766i,-0.426097384383891-0.8940424024021455i
1.2,1.00053798052758,5,-0.12152584159404078+0.05801145729757022i,-0.4260973913937021-0.8940423984292047i
1.2,1.00053807085138,5,-0.12152584505824518+0.05801146014521007i,-0.4260973983532662-0.8940423944438797i
1.2,1.00053816117519,5,-0.12152584853820958+0.058011463030332264i,-0.4260974053449623-0.8940423904413489i
1.2,1.000538251499,5,-0.12152585199560555+0.05801146588020854i,-0.4260974123231044-0.8940423864713557i
1.2,1.00053834182282,5,-0.12152585545743282+0.05801146871449194i,-0.42609741926968814-0.894042382513464i
1.2,1.00053843214664,5,-0.12152585890652023+0.05801147159381589i,-0.42609742625679725-0.8940423785252i
1.2,1.00053852247047,5,-0.1215258623835691+0.058011474465454495i,-0.42609743323574367-0.8940423745266223i
1.2,1.0005386127943,5,-0.12152586584643324+0.05801147730850056i,-0.42609744020507084-0.8940423705553412i
1.2,1.00062812638563,5,-0.1215292985453221+0.05801431081292652i,-0.42610435245333955-0.8940384262025116i
1.2,1.0007184583297,5,-0.12153276252049743+0.05801717020160448i,-0.42611132778722033-0.8940344457683341i
1.2,1.00080879571271,5,-0.12153622658630407+0.05802002980444139i,-0.42611830338980405-0.8940304650594794i
1.2,1.00089913853514,5,-0.12153969063820202+0.05802288971745982i,-0.42612527929260535-0.8940264842131228i
1.2,1.00098948679748,5,-0.1215431549389537+0.05802574968669235i,-0.42613225557712553-0.8940225029679093i
1.2,1.00107984050023,5,-0.12154661941973721+0.05802860971719859i,-0.4261392320723102-0.894018521367791i
1.2,1.00117019964387,5,-0.12155008392631536+0.058031470072159176i,-0.42614620895057803-0.8940145395952717i
1.2,1.0012605642289,5,-0.12155354850812969+0.05803433059225577i,-0.4261531860750548-0.8940105575643313i
1.2,1.00135093425582,5,-0.121557013171007+0.058037191287500324i,-0.4261601634840397-0.8940065752952376i
1.2,1.0014413097251,5,-0.1215604779695795+0.05804005221033679i,-0.42616714123773036-0.8940025927149285i
