%"freq
%References : ['S(1,1)','S(1,2)','S(2,1)','S(2,2)']
%Dependency : [freq]
%Num. Points : [417]
%Matrix Size : scalar
%Type : Real","S(1,1)
%References : []
%Dependency : [freq]
%Num. Points : [417]
%Matrix Size : scalar
%Type : Complex
%Complex Format : Mag/Deg","S(1,2)
%References : []
%Dependency : [freq]
%Num. Points : [417]
%Matrix Size : scalar
%Type : Complex
%Complex Format : Mag/Deg","S(2,1)
%References : []
%Dependency : [freq]
%Num. Points : [417]
%Matrix Size : scalar
%Type : Complex
%Complex Format : Mag/Deg","S(2,2)
%References : []
%Dependency : [freq]
%Num. Points : [417]
%Matrix Size : scalar
4.590 GHz,0.216 / -117.758 ,0.305 / 59.409 ,0.305 / 59.409 ,0.204 / 70.243 
4.596 GHz,0.201 / -120.936 ,0.345 / 59.377 ,0.345 / 59.377 ,0.200 / 63.432 
4.602 GHz,0.185 / -123.567 ,0.386 / 58.315 ,0.386 / 58.315 ,0.194 / 56.511 
4.608 GHz,0.168 / -125.554 ,0.425 / 56.538 ,0.425 / 56.538 ,0.188 / 49.450 
4.613 GHz,0.151 / -126.769 ,0.463 / 54.262 ,0.463 / 54.262 ,0.182 / 42.205 
4.619 GHz,0.135 / -127.022 ,0.499 / 51.636 ,0.499 / 51.636 ,0.174 / 34.720 
4.625 GHz,0.118 / -126.001 ,0.534 / 48.761 ,0.534 / 48.761 ,0.166 / 26.927 
4.631 GHz,0.103 / -123.187 ,0.566 / 45.703 ,0.566 / 45.703 ,0.158 / 18.745 
4.637 GHz,0.089 / -117.784 ,0.596 / 42.503 ,0.596 / 42.503 ,0.150 / 10.083 
4.642 GHz,0.078 / -108.877 ,0.624 / 39.189 ,0.624 / 39.189 ,0.141 / 0.842 
4.648 GHz,0.072 / -96.346 ,0.649 / 35.778 ,0.649 / 35.778 ,0.133 / -9.087 
4.653 GHz,0.073 / -85.093 ,0.668 / 32.992 ,0.668 / 32.992 ,0.127 / -17.599 
4.657 GHz,0.078 / -74.835 ,0.684 / 30.162 ,0.684 / 30.162 ,0.121 / -26.672 
4.662 GHz,0.087 / -66.961 ,0.699 / 27.298 ,0.699 / 27.298 ,0.115 / -36.344 
4.667 GHz,0.100 / -61.742 ,0.712 / 24.407 ,0.712 / 24.407 ,0.111 / -46.621 
4.670 GHz,0.110 / -59.338 ,0.721 / 22.226 ,0.721 / 22.226 ,0.108 / -54.706 
4.674 GHz,0.121 / -57.967 ,0.729 / 20.037 ,0.729 / 20.037 ,0.106 / -63.072 
4.677 GHz,0.132 / -57.410 ,0.735 / 17.844 ,0.735 / 17.844 ,0.105 / -71.661 
4.681 GHz,0.144 / -57.482 ,0.741 / 15.648 ,0.741 / 15.648 ,0.104 / -80.395 
4.684 GHz,0.155 / -58.034 ,0.745 / 13.452 ,0.745 / 13.452 ,0.105 / -89.180 
4.688 GHz,0.166 / -58.948 ,0.749 / 11.256 ,0.749 / 11.256 ,0.106 / -97.922 
